City_ID,City,Country,Max Temp,Description,Lat,Lng,Date,Hotel Name
662,Berbera,SO,91.56,few clouds,10.4396,45.0143,2022-08-01 18:51:05,IBCO REAL ESTATE PROPERTY
663,Aksehir,TR,73.31,few clouds,38.3575,31.4164,2022-08-01 18:51:06,GRAND HOTEL AKŞEHİR
664,Russell,US,93.0,few clouds,32.3502,-85.1999,2022-08-01 18:51:06,Macs
665,Singaparna,ID,71.74,overcast clouds,-7.3515,108.111,2022-08-01 18:51:07,Wisma Dewi Hotel
666,Havre-Saint-Pierre,CA,75.56,clear sky,50.2334,-63.5986,2022-08-01 18:51:08,Auberge Niapiskau
670,Digby,CA,81.55,overcast clouds,44.6169,-65.7655,2022-08-01 18:51:10,Digby Pines Golf Resort and Spa
672,Ugoofaaru,MV,80.94,overcast clouds,5.6667,73.0,2022-08-01 18:51:11,Ungoofaaru Inn
673,Brookhaven,US,91.8,overcast clouds,31.5791,-90.4407,2022-08-01 18:50:38,Americas Best Value Inn Brookhaven
674,Kerema,PG,76.1,broken clouds,-7.9631,145.7785,2022-08-01 18:51:13,Frena Lodge
676,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,2022-08-01 18:51:14,Divi Village Golf & Beach Resort
677,Ponca City,US,95.02,clear sky,36.707,-97.0856,2022-08-01 18:47:09,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
678,Gat,IL,81.81,clear sky,31.61,34.7642,2022-08-01 18:48:01,OlusHome
680,Lafiagi,NG,75.04,light rain,8.8667,5.4167,2022-08-01 18:51:16,Bus group international
681,Itaituba,BR,93.36,scattered clouds,-4.2761,-55.9836,2022-08-01 18:51:17,Hotel Campos
682,Kiunga,PG,72.61,moderate rain,-6.1219,141.2906,2022-08-01 18:51:17,Airport Lodge Kiunga
684,Colares,PT,87.1,few clouds,38.7992,-9.4469,2022-08-01 18:51:18,Arribas Sintra Hotel
685,Valdosta,US,96.98,scattered clouds,30.8327,-83.2785,2022-08-01 18:49:51,Courtyard by Marriott Valdosta
687,Tura,IN,73.49,light rain,25.5198,90.2201,2022-08-01 18:50:22,Hotel RIKMAN Continental
689,Tapiramuta,BR,72.07,few clouds,-11.8472,-40.7914,2022-08-01 18:51:21,Hotel Santana
690,Key West,US,95.0,few clouds,24.5557,-81.7826,2022-08-01 18:51:22,Fairfield Inn & Suites by Marriott Key West
691,Monrovia,LR,73.17,moderate rain,6.3005,-10.7969,2022-08-01 18:50:28,Sunset Inn
692,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,2022-08-01 18:51:23,Hotel Posada San Jose
693,Khasan,RU,70.43,scattered clouds,42.4308,130.6434,2022-08-01 18:51:23,Fangchuan Self-Driving Camp
695,Pampa,US,91.54,clear sky,35.5362,-100.9599,2022-08-01 18:48:04,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
697,Tumarbong,PH,78.82,overcast clouds,10.3766,119.4579,2022-08-01 18:52:25,Rufino’s Place
698,Wajima,JP,82.38,overcast clouds,37.4,136.9,2022-08-01 18:52:26,Wajiima Onsen Yashio
701,Caucaia,BR,84.15,few clouds,-3.7361,-38.6531,2022-08-01 18:52:27,M.O.S. Logística - Filial Fortaleza
703,Muncar,ID,75.09,broken clouds,-8.4333,114.3333,2022-08-01 18:52:29,Zaky Homestay
704,Maragogi,BR,76.69,clear sky,-9.0122,-35.2225,2022-08-01 18:52:29,Salinas do Maragogi All Inclusive Resort
705,Pilani,IN,86.4,scattered clouds,28.3684,75.6041,2022-08-01 18:52:30,Hotel Poornima Lodge
