City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Morro Bay,US,2022-07-26 01:07:41,35.3658,-120.8499,83.93,67,13,3.0
67,Changping,CN,2022-07-26 01:12:10,40.2186,116.2197,83.84,59,94,5.59
68,Galle,LK,2022-07-26 01:09:31,6.0367,80.217,78.48,85,100,10.92
69,Saint-Philippe,RE,2022-07-26 01:12:10,-21.3585,55.7679,65.79,83,58,10.76
70,Hasaki,JP,2022-07-26 01:08:11,35.7333,140.8333,79.2,83,100,19.37
71,Monrovia,LR,2022-07-26 01:08:19,6.3005,-10.7969,74.28,76,2,5.21
72,Bambous Virieux,MU,2022-07-26 01:12:10,-20.3428,57.7575,67.21,88,40,3.44
73,Barrow,US,2022-07-26 01:12:11,71.2906,-156.7887,37.42,87,100,29.93
74,Vaini,TO,2022-07-26 01:12:11,-21.2,-175.2,78.96,83,20,9.22
75,Butaritari,KI,2022-07-26 01:12:11,3.0707,172.7902,82.62,69,98,15.66
76,Itarema,BR,2022-07-26 01:12:12,-2.9248,-39.9167,77.38,77,64,12.64
77,Bathsheba,BB,2022-07-26 01:12:12,13.2167,-59.5167,81.21,95,40,14.97
78,Khatanga,RU,2022-07-26 01:12:12,71.9667,102.5,73.74,39,0,6.33
79,Arraial Do Cabo,BR,2022-07-26 01:12:13,-22.9661,-42.0278,70.65,88,6,19.48
80,Belozerskoye,RU,2022-07-26 01:12:13,55.8214,65.5842,66.6,83,100,2.57
81,Kristiinankaupunki,FI,2022-07-26 01:12:13,62.2743,21.376,62.28,95,100,16.71
82,Faanui,PF,2022-07-26 01:12:14,-16.4833,-151.75,77.77,75,76,10.4
83,Hammerfest,NO,2022-07-26 01:12:14,70.6634,23.6821,57.65,82,75,9.22
84,Hami,CN,2022-07-26 01:12:14,42.8,93.45,85.28,18,0,7.0
85,Aswan,EG,2022-07-26 01:12:14,24.0934,32.907,86.09,15,23,8.68
86,Saint-Paul,RE,2022-07-26 01:12:15,-21.0096,55.2707,68.36,73,3,4.99
87,Qui Nhon,VN,2022-07-26 01:12:15,13.7667,109.2333,82.63,73,100,3.51
88,Buraydah,SA,2022-07-26 01:12:15,26.326,43.975,85.8,19,33,4.99
89,Chokurdakh,RU,2022-07-26 01:12:15,70.6333,147.9167,61.56,36,42,14.92
90,Nakhon Si Thammarat,TH,2022-07-26 01:12:16,8.25,100.0,81.19,80,99,0.45
91,Erzin,TR,2022-07-26 01:12:16,36.9559,36.2,73.92,48,0,1.83
92,Petrov Val,RU,2022-07-26 01:13:16,50.1434,45.2096,62.65,86,2,5.99
93,Plettenberg Bay,ZA,2022-07-26 01:13:17,-34.0527,23.3716,54.63,58,0,6.31
94,Dikson,RU,2022-07-26 01:13:17,73.5069,80.5464,44.15,92,100,23.58
95,Tsiroanomandidy,MG,2022-07-26 01:13:17,-18.7667,46.0333,55.35,75,1,0.4
96,Bluff,NZ,2022-07-26 01:12:58,-46.6,168.3333,46.8,89,100,26.96
97,Thompson,CA,2022-07-26 01:13:17,55.7435,-97.8558,60.96,94,75,3.44
98,Bandarbeyla,SO,2022-07-26 01:13:18,9.4942,50.8122,77.27,70,100,27.4
99,Imeni Poliny Osipenko,RU,2022-07-26 01:13:18,52.4201,136.4853,64.18,76,100,8.59
100,Esperance,AU,2022-07-26 01:08:21,-33.8667,121.9,54.55,54,1,20.83
101,Georgetown,MY,2022-07-26 01:12:25,5.4112,100.3354,81.9,85,20,2.3
102,Almaznyy,RU,2022-07-26 01:13:18,48.0448,40.045,63.37,79,100,4.56
103,Chunian,PK,2022-07-26 01:13:18,30.964,73.9803,83.59,73,99,6.87
104,Severo-Kurilsk,RU,2022-07-26 01:13:19,50.6789,156.125,54.46,80,39,10.63
105,Istok,XK,2022-07-26 01:13:19,42.7808,20.4875,67.26,54,0,3.47
106,Biak,ID,2022-07-26 01:13:19,-0.9131,122.8766,79.61,76,80,6.87
107,Pandan,PH,2022-07-26 01:13:20,14.0453,124.1694,86.81,64,66,3.33
108,Iwaki,JP,2022-07-26 01:13:20,37.05,140.8833,87.76,93,100,3.0
109,Mareeba,AU,2022-07-26 01:13:21,-17.0,145.4333,75.49,73,1,5.48
110,Shieli,KZ,2022-07-26 01:13:21,44.1667,66.75,85.23,21,93,4.47
111,Cherskiy,RU,2022-07-26 01:13:03,68.75,161.3,56.3,40,100,12.59
112,Pacific Grove,US,2022-07-26 01:13:21,36.6177,-121.9166,69.03,81,75,12.66
113,Hobart,AU,2022-07-26 01:13:01,-42.8794,147.3294,57.25,88,75,3.44
114,Francistown,BW,2022-07-26 01:13:22,-21.17,27.5079,52.14,92,90,11.99
115,Lagoa,PT,2022-07-26 01:13:22,39.05,-27.9833,73.33,90,0,9.69
116,Yellowknife,CA,2022-07-26 01:13:22,62.456,-114.3525,70.32,37,20,19.57
117,Poum,NC,2022-07-26 01:13:23,-20.2333,164.0167,73.85,68,0,10.07
118,Vila Velha,BR,2022-07-26 01:13:23,-20.3297,-40.2925,69.94,87,20,0.0
119,Boffa,GN,2022-07-26 01:13:23,10.1667,-14.0333,73.51,95,100,2.51
120,Beringovskiy,RU,2022-07-26 01:13:24,63.05,179.3167,44.91,83,100,4.79
121,Latung,PH,2022-07-26 01:13:24,5.5,120.8833,84.04,72,100,7.47
122,Baculin,PH,2022-07-26 01:13:24,7.4525,126.5842,84.78,69,99,4.29
123,Tumbotino,RU,2022-07-26 01:13:24,55.9993,43.0236,62.51,93,14,2.86
124,Puerto Ayora,EC,2022-07-26 01:12:50,-0.7393,-90.3518,69.55,94,99,5.01
125,Atasu,KZ,2022-07-26 01:13:25,48.6814,71.6433,69.48,31,52,6.38
126,Abilene,US,2022-07-26 01:10:57,32.4487,-99.7331,98.82,19,0,14.97
127,Karratha,AU,2022-07-26 01:13:25,-20.7377,116.8463,68.7,33,0,17.6
128,Ushtobe,KZ,2022-07-26 01:13:25,45.2514,77.9838,70.38,25,100,12.91
129,Katsuura,JP,2022-07-26 01:13:26,35.1333,140.3,80.62,87,100,18.52
130,Mao,ES,2022-07-26 01:13:26,39.8885,4.2658,81.16,69,0,17.27
131,Aykhal,RU,2022-07-26 01:13:26,66.0,111.5,71.24,74,100,10.25
132,Timoteo,BR,2022-07-26 01:13:27,-19.5825,-42.6444,62.78,79,0,1.95
133,Constitucion,CL,2022-07-26 01:13:27,-35.3333,-72.4167,53.13,92,100,20.74
134,Adrar,MR,2022-07-26 01:13:27,20.5022,-10.0711,91.74,31,11,7.49
135,Wajir,KE,2022-07-26 01:13:28,1.7471,40.0573,70.65,73,1,12.06
